Region,Category,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2010,23.3,24.9,25.6,26.9,26.1,25.1,24.3,23.4,23.8,23.3,23.8,23.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2010,13,13.9,14.4,15.9,16.7,16.7,16,16.1,15.7,15.7,15.4,14
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2010,18.2,19.4,20,21.4,21.4,20.9,20.2,19.8,19.8,19.5,19.6,18.9
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2011,22.8,23.6,24.4,25.7,25,23.6,22.2,22.6,22.3,22.8,24,23.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2011,12.3,12.6,13.5,14.1,15.5,15.5,15.2,15.3,15.1,14.8,14.8,14.3
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2011,17.6,18.1,19,19.9,20.3,19.5,18.7,18.9,18.7,18.8,19.4,19.1
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2012,23.9,23.7,24.7,26.2,25.6,22.5,22.9,20.8,24.2,23.7,24.9,24.5
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2012,12.9,13.2,13.8,14.9,15.5,15.5,15.5,15.3,15.9,14.7,14.6,13.9
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2012,18.4,18.5,19.3,20.6,20.6,19,19.2,18,20.1,19.2,19.8,19.2
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2013,23.8,25.5,25.5,26.8,25.1,24.4,24.1,22.3,23.2,22.4,23.3,23
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2013,12.4,13.9,15,16.2,16.4,16.6,15.9,15.7,15.8,14.7,15,14.4
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2013,18.1,19.7,20.3,21.5,20.8,20.5,20,19,19.5,18.6,19.2,18.7
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2014,21,22.4,24.1,24.4,25,23.5,22.8,22.6,23.3,23.6,24.1,23.3
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2014,10.6,12.5,13.9,15.9,16.6,16.5,16.1,16,16.1,15.8,15.1,14.6
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2014,15.8,17.4,19,20.1,20.8,20,19.5,19.3,19.7,19.7,19.6,19
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2015,21.8,22.1,23.8,24.4,24.5,24.6,21,22.6,23.7,23,24.3,23.4
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2015,12.1,13,14.2,15.7,16.7,17,15.9,16,16.4,15.5,15.3,15
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2015,17,17.6,19,20,20.6,20.8,18.5,19.3,20,19.3,19.8,19.2
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2016,23.2,22.8,24,26.2,25,24.6,23.8,21.3,23,23.1,NA,23.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2016,14,13.6,14.9,16.3,17,16.6,16.2,16.1,16,15.8,NA,14.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2016,18.6,18.2,19.4,21.3,21,20.6,20,18.7,19.5,19.5,NA,19.3
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2017,NA,22.2,24.4,25.1,24.6,25.2,23.3,23.2,23.5,23.2,23.9,23.5
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2017,NA,12.8,14.7,15.9,16.9,17,16.5,16.6,16.7,16.2,16.1,14.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2017,NA,17.6,19.5,20.5,21,21.1,19.9,19.9,20.1,19.7,20,19.2
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2018,23.3,24.2,24.4,24.3,24.9,22.5,22.1,20.6,23.1,23.6,24.6,23.8
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2018,14.9,14.3,13.8,15.9,16.9,16.6,16.3,16.3,15.8,15.3,14.1,14.1
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2018,19.1,19.2,19.1,20.1,20.9,19.5,19.2,18.4,19.5,19.5,19.4,18.9
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Maximum Temperature,2019,23.2,23.7,25,25.6,24.4,24.8,23,20.7,21.3,24.1,23,24.1
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Minimum Temperature,2019,12.8,12.5,14.5,16.6,16.8,17.2,16.4,16.5,16,15.5,15.1,14.2
NaNCORDILLERA ADMINISTRATIVE REGION (CAR),Mean Temperature,2019,18,18.1,19.7,21.1,20.6,21,19.7,18.6,18.7,19.8,19,19.1
